Source: AEUB 2005
Unit: Thousand Cubic meters per day
---
Year,Surface Mining plus In-situ
2004.2959537572253,63.94761811102487
2004.4420809248554,64.94111476556266
2004.5549132947976,65.40255726622736
2004.6473988439307,66.01669635149753
2004.7768786127167,66.85443688057951
2004.8416184971097,67.35601035873111
2005.0117919075144,68.42868538085816
2005.128323699422,69.97108916011953
2005.2522543352602,71.82286351169728
2005.3687861271676,73.409375671551
2005.4927167630058,75.2170416425363
2005.6073988439307,76.81442792049563
2005.7109826589594,78.14624605264592
2005.821965317919,79.92527344646346
2005.942196531792,81.39630706134739
2006.0476300578034,83.13628069101918
2006.164161849711,85.1087411810555
2006.2751445086706,87.04766145452028
2006.4046242774566,89.31892435285246
2006.5341040462429,91.25937439674223
2006.6404624277457,93.06007353824965
2006.7542196531792,94.83933039763093
2006.8726011560693,96.76783548411765
2006.9872832369942,98.46446561840968
2007.107514450867,100.45928625282727
2007.2129479768787,102.2213140727952
2007.329479768786,104.00631394531432
2007.4349132947978,105.74628757498601
2007.5532947976878,107.67479266147274
2007.6624277456647,109.27172000830438
2007.7734104046242,111.15550480602877
2007.9028901734105,113.09595484991851
2008.0268208092486,115.1241627238654
2008.1341040462428,116.32396166832388
2008.2561849710983,117.65730957089939
2008.3671676300578,119.05590218210824
2008.4818497109827,120.587125889179
2008.578034682081,121.58751925871694
2008.6797687861272,122.83648120021414
2008.8092485549132,124.41855065179143
2008.9202312138727,125.75098069211177
2009.0312138728323,126.91800430521094
2009.1421965317918,127.75421506386783
2009.271676300578,128.92276844739223
2009.3734104046243,129.65897046450385
2009.5121387283236,130.7069906866119
2009.6323699421964,131.70937275770245
2009.7341040462427,132.32427672818534
2009.8432369942198,133.53525574483416
2009.9560693641617,134.27237562420086
2010.0763005780348,135.19205448168094
2010.172485549133,136.01050078127554
2010.2890173410406,136.94641432739272
2010.3815028901734,137.6983921020137
2010.5109826589596,138.83937774766798
2010.677456647399,140.06612614778294
2010.7884393063584,140.95747238218024
2010.9049710982658,141.89338592829733
2010.9826589595375,142.51732829237545
2011.1953757225433,143.30681731263036
2011.3063583815028,143.59167331388335
2011.4173410404624,143.9868002666171
2011.5005780346821,143.99368423353036
2011.6578034682082,144.66831299102893
2011.7687861271677,144.73262708932032
2011.8797687861272,145.2931604692752
2011.9907514450867,145.46774551904738
2012.1017341040463,145.86287247178112
2012.1757225433525,146.03439798070303
2012.3421965317918,146.7097916234141
2012.4531791907514,147.21518952762867
2012.5179190751446,147.38595015133785
2012.7676300578034,148.06822776096237
2012.878612716763,148.24281281073462
2012.9895953757225,148.74821071494898
2013.100578034682,148.75738933750011
2013.2115606936416,148.76656796005108
2013.322543352601,148.7757465826021
2013.442774566474,148.78569009036568
2013.6184971098266,149.46184861828945
2013.7294797687862,149.4710272408404
2013.8404624277457,149.4802058633915
2013.914450867052,149.48632494509215
